Cycle,Name,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20,Channel 21,Channel 22,Channel 23,Channel 24,Channel 25,Channel 26,Channel 27,Channel 28,Channel 29,Channel 30,Channel 31,Channel 32,Channel 33,Channel 34,Channel 35,Channel 36,Channel 37,Channel 38,Channel 39,Channel 40,Channel 41,Channel 42,Channel 43,Channel 44,Channel 45,Channel 46,Channel 47,Channel 48,Channel 49,Channel 50,Channel 51,Channel 52,Channel 53,Channel 54,Channel 55,Channel 56,Channel 57,Channel 58,Channel 59,Channel 60,Channel 61,Channel 62,Channel 63,Channel 64
,Mass (g),0.0015,0.0022,0.0017,0.0007,0.0017,0.0021,0.0018,0.0021,0.0018,0.0017,0.0021,0.0018,0.0016,0.0017,0.0018,0.0018,0.0013,0.0023,0.0014,0.0019,0.0014,0.0021,0.0014,0.002,0.002,0.0015,0.0021,0.002,0.0023,0.002,0.0021,0.0016,0.0016,0.0023,0.0018,0.0017,0.0011,0.0017,0.0016,0.002,0.0018,0.0016,0.0008,0.0018,0.002,0.0018,0.0021,0.0015,0.0019,0.0021,0.0014,0.002,0.0017,0.002,0.0016,0.0021,0.0015,0.0018,0.0019,0.002,0.0022,0.0015,0.0021,0.0016
1,Charge (mAh/g),222.15057463,171.197943,184.05683238,218.22313608,171.02757073,111.30173533,174.40366223,195.22727294,190.06421062,159.46425597,143.33171486,146.20452858,141.745451,178.63221649,195.63830084,192.78237103,181.52492778,171.32792616,184.06471795,134.2010306,194.36408179,181.69915604,184.57502154,143.55137526,188.30459764,184.85285383,83.5699941,148.78925325,135.17878254,164.50805506,168.03953832,118.32245012,166.98867715,119.69232086,151.39556967,154.076481,170.85333416,156.63907887,196.43825619,166.97514171,152.39212597,171.52868221,205.1549039,164.75867108,155.78745886,176.68061886,164.85888729,204.80222858,174.59704229,140.89080167,179.14338373,190.03490555,171.34760272,107.17077498,177.785766,162.17600959,206.52751484,150.24165404,161.58882714,131.20825684,160.8762784,152.90414858,143.42702866,151.39670674
,Discharge (mAh/g),-131.67230378,-102.55400234,-127.47670847,-89.4547533,-117.30112483,-64.75510144,-124.6568671,-90.34757591,-114.49226574,-129.28498479,-99.09475999,-114.04726625,-91.93660085,-125.90697935,-139.80857361,-154.63161476,-144.91575845,-134.57449231,-148.24584557,-105.06572275,-153.02138516,-144.77204242,-142.14638155,-109.07526785,-101.17989542,-133.16010762,-66.95760173,-126.73389683,-111.34090473,-139.94914061,-140.15121807,-98.11626534,-110.31686493,-82.42929716,-132.40401185,-131.07991415,-146.48335971,-130.4738199,-174.37555059,-113.73909683,-79.84080623,-145.5583572,-149.50170342,-142.50759149,-128.79050537,-156.13436154,-127.68115863,-178.82818398,-121.4413964,-107.2101705,-147.98767748,-161.90359573,-147.10688991,-83.27872698,-135.95599771,-131.12780457,-121.78462417,-106.01525744,-117.06053785,-103.30363202,-120.31407152,-103.82707544,-92.67325313,-106.87481087
,Resistance,4371.620225457714,7485.737232552575,2882.3682104826753,2453.5375651673826,2861.6539135320168,10787.374018731725,3023.5373618840995,3437.3921249321506,7881.623273140423,3509.982295477897,4355.6648948032,2221.154688871335,2242.72990967398,3193.933151235608,2693.419616103353,2203.6762209919734,4264.791555706406,3135.2860175777123,1813.2356794827992,6207.020821056315,1866.5604231194427,2279.81636004712,3738.64845060865,3138.229179894681,5687.579536401676,2383.812960819287,10765.170176853788,2506.7610658434332,5943.848070218288,2439.9686158096533,4555.987767267462,4900.309121377599,3434.2887251895386,5016.21032442121,3049.9189540083767,4973.131992562997,3514.6863069931096,3480.4401856785867,3043.021995318555,4009.367782751213,11924.491206374754,3934.031279772812,2739.320244493267,3308.840754776195,5425.400467301222,3553.5327921822204,4674.643370538904,3560.777654780024,3933.9426294154478,7975.348844833722,3698.439864132932,3832.5870740430346,4163.081147428409,7046.367810722369,4055.940113036971,4063.4925907260654,8465.636645149481,4375.227017608763,7429.870994823231,4414.349701749636,5663.791134997748,5191.71627182572,6936.22311241086,4936.48312682265
,Mean Resistance,4485.266134718632
,Standard Deviation,2180.9469643663174
