freq/Hz	-Im(Z)/Ohm	Re(Z)/Ohm	
2.3101619E+005	9.0334637E+002	3.1030184E+001
1.7232964E+005	1.1963047E+003	3.7160820E+001
1.2855367E+005	1.6096899E+003	4.3003876E+001
9.5902617E+004	2.1525481E+003	2.8158770E+000
7.1537258E+004	2.8627041E+003	5.6637127E+001
5.3369953E+004	3.8224128E+003	8.3112938E+001
3.9814063E+004	5.0529531E+003	5.5132870E+001
2.9700492E+004	6.8596138E+003	1.6615724E+002
2.2157064E+004	9.1546338E+003	1.0626704E+002
1.6525014E+004	1.2454420E+004	4.5854877E+002
1.2331135E+004	1.6782404E+004	8.0660266E+002
9.2288525E+003	2.1424627E+004	1.1344475E+003
6.9032866E+003	2.8507430E+004	1.7650583E+003
5.1200850E+003	3.8056965E+004	4.3625728E+003
3.8163364E+003	5.1800543E+004	6.3259341E+003
2.8472668E+003	6.8320461E+004	1.0444588E+004
2.1256799E+003	8.7795797E+004	1.7139205E+004
1.5855076E+003	1.1750586E+005	2.7678961E+004
1.1818910E+003	1.5174680E+005	4.9841617E+004
8.8141022E+002	1.8711784E+005	7.3603313E+004
6.5768494E+002	2.3356711E+005	1.1438303E+005
4.9078522E+002	2.5666970E+005	1.8659172E+005
3.6605426E+002	2.8169281E+005	2.1532794E+005
2.7299075E+002	2.5087448E+005	3.0874697E+005
2.0376114E+002	2.6145233E+005	4.2572053E+005
1.5199416E+002	2.3295030E+005	4.6610031E+005
1.1343907E+002	1.7131536E+005	4.7638822E+005
8.4593941E+001	1.6881648E+005	5.1579469E+005
6.3082302E+001	1.6259800E+005	5.3775988E+005
4.7063255E+001	1.4855264E+005	5.5172356E+005
3.5101093E+001	9.2452789E+004	5.8055869E+005
2.6181301E+001	8.5284734E+004	4.8350322E+005
1.9531252E+001	4.1207809E+004	6.2348681E+005
1.4575557E+001	1.0608778E+005	6.3171806E+005
1.0880919E+001	2.1316102E+005	6.2567869E+005
8.1042528E+000	8.4902477E+004	6.7536913E+005
6.0468264E+000	7.2039289E+004	6.3128338E+005
4.5106812E+000	2.0065863E+005	7.0290300E+005
3.3674569E+000	1.8545591E+005	6.8790763E+005
2.5136740E+000	3.3169025E+005	7.2916413E+005
1.8744003E+000	2.9339216E+005	7.8500769E+005
1.3970852E+000	3.3446006E+005	8.3812825E+005
1.0433360E+000	3.9580934E+005	8.2120856E+005
7.7705413E-001	5.4554900E+005	8.7407981E+005
5.7999259E-001	4.7496375E+005	1.2360049E+006
4.3258584E-001	7.6858594E+005	1.0023104E+006
3.2293734E-001	8.6133581E+005	1.1014698E+006
2.4074021E-001	1.0433436E+006	1.1822233E+006
1.7979608E-001	1.3501585E+006	1.3832096E+006
1.3415243E-001	1.5417709E+006	1.4416548E+006
9.9904113E-002	1.9771690E+006	1.4113991E+006
1.0000186E+006	1.6628442E+002	5.3846741E+000
7.4598238E+005	2.4306807E+002	-3.1040141E-001
5.5648750E+005	3.4385303E+002	6.8028727E+000
4.1512953E+005	4.7230753E+002	1.4031940E+001
3.0967934E+005	6.6685254E+002	2.1031065E+001
2.3101619E+005	8.9342560E+002	2.8109306E+001
