freq/Hz	-Im(Z)/Ohm	Re(Z)/Ohm	
1.7232964E+005	1.1928853E+003	2.3120358E+001
1.2855367E+005	1.6021571E+003	5.1896275E+001
9.5902617E+004	2.1530850E+003	3.9483677E+001
7.1537258E+004	2.8456467E+003	2.3967205E+001
5.3369953E+004	3.8620957E+003	1.4229114E+002
3.9814063E+004	4.9921763E+003	2.3667635E+001
2.9700492E+004	6.7716147E+003	-3.4314720E+001
2.2157064E+004	9.1293740E+003	1.0496809E+002
1.6525014E+004	1.2163641E+004	1.1669187E+002
1.2331135E+004	1.6033785E+004	2.6353680E+002
9.2288525E+003	2.1792367E+004	6.7912598E+002
6.9032866E+003	2.7829410E+004	1.1139642E+003
5.1200850E+003	4.0779313E+004	-8.9558728E+002
3.8163364E+003	5.1941547E+004	2.0698855E+003
2.8472668E+003	6.8554617E+004	2.0172936E+003
2.1256799E+003	9.2731266E+004	3.8202329E+003
1.5855076E+003	1.2231869E+005	4.0169561E+003
1.1818910E+003	1.6290603E+005	-6.9273895E+002
8.8141022E+002	2.1380061E+005	1.5318154E+004
6.5768494E+002	3.1040150E+005	-1.8477428E+004
4.9078522E+002	3.5405563E+005	-7.5157124E+003
3.6605426E+002	5.5100856E+005	6.8156320E+004
2.7299075E+002	7.7798088E+005	8.5807844E+004
2.0376114E+002	1.0238568E+006	2.7417747E+005
1.5199416E+002	9.9583000E+005	4.6112313E+004
1.1343907E+002	1.3649238E+006	8.4050775E+005
8.4593941E+001	1.3355866E+006	5.5478988E+005
6.3082302E+001	1.8626286E+006	3.2425966E+005
4.7063255E+001	4.8679397E+005	1.9378195E+006
3.5101093E+001	1.0308694E+006	1.8574860E+006
2.6181301E+001	1.8358725E+006	1.7050950E+006
1.9531252E+001	2.0424509E+006	1.5234818E+006
1.4575557E+001	1.8314418E+006	1.6598933E+006
1.0880919E+001	5.6718500E+004	2.2905048E+006
8.1042528E+000	-1.7477123E+006	3.6497543E+006
6.0468264E+000	9.0797725E+005	2.0498803E+006
4.5106812E+000	2.3413427E+005	4.1564105E+006
3.3674569E+000	-1.4415411E+006	2.8310603E+006
2.5136740E+000	5.1072634E+005	3.8373415E+006
1.8744003E+000	3.7231250E+006	1.7550406E+006
1.3970852E+000	5.1721750E+006	-1.9665615E+006
1.0433360E+000	3.4206383E+006	5.2439475E+006
7.7705413E-001	4.9547880E+006	7.3245300E+006
5.7999259E-001	1.4163438E+006	6.8566219E+005
4.3258584E-001	6.4230395E+006	8.9312990E+006
3.2293734E-001	2.8243750E+006	4.8310175E+006
2.4074021E-001	-1.1419409E+007	1.6178537E+007
1.7979608E-001	6.7504855E+006	1.4817593E+007
1.3415243E-001	9.8511600E+006	1.7389152E+007
9.9904113E-002	2.3103494E+007	2.7916834E+007
1.0000186E+006	1.6262053E+002	-4.2106881E+000
7.4598238E+005	2.4007724E+002	4.8786721E+000
5.5648750E+005	3.4907474E+002	1.9677988E+000
4.1512953E+005	4.7730603E+002	6.4739246E+000
3.0967934E+005	6.7572418E+002	2.1932474E+001
2.3101619E+005	8.9642285E+002	2.4174995E+001
1.7232964E+005	1.1931023E+003	3.8590702E+001
1.2855367E+005	1.6320302E+003	4.8935951E+001
9.5902617E+004	2.2058972E+003	3.6685368E+001
7.1537258E+004	2.8673315E+003	1.2532347E+002
5.3369953E+004	3.8884463E+003	6.1319914E+000
3.9814063E+004	5.0961465E+003	3.7843971E+001
2.9700492E+004	6.8421509E+003	7.0001045E+001
2.2157064E+004	9.3093535E+003	1.5381764E+002
1.6525014E+004	1.2531032E+004	2.1439484E+002
1.2331135E+004	1.6339738E+004	1.5495723E+002
9.2288525E+003	2.2992049E+004	4.2081549E+002
6.9032866E+003	2.7835580E+004	1.6505428E+002
5.1200850E+003	3.9449152E+004	5.6229181E+002
3.8163364E+003	5.3208773E+004	1.9146591E+003
2.8472668E+003	7.0667609E+004	3.1699448E+003
2.1256799E+003	9.3674750E+004	1.5800947E+003
1.5855076E+003	1.2888261E+005	-1.5833177E+002
1.1818910E+003	1.6869109E+005	2.6515139E+003
8.8141022E+002	2.2500527E+005	6.9540615E+003
6.5768494E+002	3.0219075E+005	1.0435297E+004
4.9078522E+002	3.7230950E+005	-2.3631135E+004
3.6605426E+002	4.9602497E+005	1.1461445E+004
2.7299075E+002	6.8088950E+005	1.7113943E+004
2.0376114E+002	9.0926150E+005	6.1487762E+004
1.5199416E+002	1.0067042E+006	7.6506820E+004
1.1343907E+002	1.2405635E+006	-2.5499944E+005
8.4593941E+001	9.9209075E+005	9.7928700E+005
6.3082302E+001	1.6658545E+006	-3.6421660E+004
4.7063255E+001	1.6444943E+006	9.9328538E+005
3.5101093E+001	2.1077880E+006	8.5004744E+005
2.6181301E+001	1.7549564E+006	1.3590560E+006
1.9531252E+001	-2.4394340E+006	1.7915828E+006
1.4575557E+001	-3.9973219E+005	2.4221700E+006
1.0880919E+001	1.0352310E+006	2.2929085E+006
8.1042528E+000	1.7722351E+006	4.1115875E+006
6.0468264E+000	1.4443584E+006	2.8058773E+006
4.5106812E+000	2.7161258E+006	3.0139853E+006
3.3674569E+000	7.7336588E+005	3.2848575E+006
2.5136740E+000	-1.9922048E+006	2.8996958E+006
1.8744003E+000	-7.5133625E+005	3.8276443E+006
1.3970852E+000	1.0081707E+006	5.3070315E+006
1.0433360E+000	1.6123610E+006	5.5764305E+006
7.7705413E-001	4.0415830E+006	5.6198165E+006
5.7999259E-001	-5.4310281E+005	8.3523638E+005
4.3258584E-001	3.3321833E+006	1.2484307E+007
3.2293734E-001	-3.3445420E+006	7.8905780E+006
2.4074021E-001	5.5885185E+006	1.3459883E+007
1.7979608E-001	-6.9629920E+006	1.9031112E+007
1.3415243E-001	4.8416775E+006	1.9092936E+007
9.9904113E-002	4.3800415E+006	2.0209312E+007
1.0000186E+006	1.6279930E+002	1.1009253E+001
7.4598238E+005	2.4684743E+002	-6.8236656E+000
5.5648750E+005	3.4513785E+002	6.9790616E+000
4.1512953E+005	4.7244583E+002	1.2740607E+001
3.0967934E+005	6.6105542E+002	2.2346165E+001
2.3101619E+005	9.0399200E+002	3.3974720E+001
1.7232964E+005	1.1935740E+003	4.4925758E+001
1.2855367E+005	1.5779667E+003	5.7268661E+001
9.5902617E+004	2.1413657E+003	7.2214752E+001
7.1537258E+004	2.8120684E+003	6.4962212E+001
5.3369953E+004	3.7748508E+003	2.4260573E+002
3.9814063E+004	5.0225898E+003	1.5509799E+002
2.9700492E+004	6.7084805E+003	2.8926309E+002
2.2157064E+004	8.8881650E+003	4.8828113E+002
1.6525014E+004	1.1909652E+004	9.4975482E+002
1.2331135E+004	1.5563745E+004	1.4535210E+003
9.2288525E+003	2.0706594E+004	2.7097197E+003
6.9032866E+003	2.7516980E+004	4.0856511E+003
5.1200850E+003	3.6234328E+004	6.1784619E+003
3.8163364E+003	4.7138633E+004	1.3090129E+004
2.8472668E+003	5.9843188E+004	2.1483994E+004
2.1256799E+003	7.5228086E+004	3.3231996E+004
1.5855076E+003	9.0708906E+004	5.1255590E+004
1.1818910E+003	1.0209735E+005	7.1904063E+004
8.8141022E+002	1.0726423E+005	1.0492709E+005
6.5768494E+002	1.0777395E+005	1.2678666E+005
4.9078522E+002	9.7811289E+004	1.5917897E+005
3.6605426E+002	8.8443055E+004	1.7867077E+005
2.7299075E+002	7.3713039E+004	2.0567745E+005
2.0376114E+002	6.8510977E+004	2.0895930E+005
1.5199416E+002	5.7890461E+004	2.2303272E+005
1.1343907E+002	4.6315328E+004	2.2686323E+005
8.4593941E+001	3.5948672E+004	2.2899170E+005
6.3082302E+001	4.3204594E+004	2.3646020E+005
4.7063255E+001	4.9459820E+004	2.2433930E+005
3.5101093E+001	5.2530035E+004	2.4139906E+005
2.6181301E+001	3.6349668E+004	2.3054256E+005
1.9531252E+001	5.0087531E+004	2.6464784E+005
1.4575557E+001	7.2972859E+004	2.8258409E+005
1.0880919E+001	6.9855086E+004	2.6568634E+005
8.1042528E+000	6.7852211E+004	2.7327788E+005
6.0468264E+000	8.7491938E+004	2.9824622E+005
4.5106812E+000	1.0419264E+005	2.9718166E+005
3.3674569E+000	9.8795984E+004	3.4117903E+005
2.5136740E+000	1.3707780E+005	3.3608541E+005
1.8744003E+000	1.5163358E+005	3.4474063E+005
1.3970852E+000	1.6826681E+005	3.6578419E+005
1.0433360E+000	2.2825078E+005	3.9278181E+005
7.7705413E-001	2.5219497E+005	3.9550647E+005
5.7999259E-001	3.2473275E+005	4.3181222E+005
4.3258584E-001	3.9031291E+005	4.8802703E+005
3.2293734E-001	4.5523988E+005	5.3647481E+005
2.4074021E-001	6.0277288E+005	5.8424613E+005
1.7979608E-001	7.3556319E+005	6.2815525E+005
1.3415243E-001	8.8502288E+005	7.2592569E+005
9.9904113E-002	1.1365593E+006	8.1947250E+005
1.0000186E+006	1.5961859E+002	5.6260524E+000
7.4598238E+005	2.4241095E+002	-5.3268939E-002
5.5648750E+005	3.4497516E+002	4.3402200E+000
4.1512953E+005	4.7487973E+002	1.0568843E+001
3.0967934E+005	6.6904492E+002	1.6077803E+001
2.3101619E+005	8.9435248E+002	2.0786615E+001
1.7232964E+005	1.2076857E+003	3.5833996E+001
1.2855367E+005	1.6107268E+003	3.1042194E+001
9.5902617E+004	2.1602866E+003	3.6476295E+001
7.1537258E+004	2.9447288E+003	7.4851189E+001
5.3369953E+004	3.7811858E+003	-2.7362332E+000
3.9814063E+004	5.0374087E+003	6.4023771E+000
2.9700492E+004	6.8233242E+003	-8.5231457E+000
2.2157064E+004	9.1655078E+003	-1.7207121E+002
1.6525014E+004	1.2694309E+004	2.6335087E+001
1.2331135E+004	1.6703850E+004	5.6401756E+001
9.2288525E+003	2.2131998E+004	6.3443750E+002
6.9032866E+003	2.8879129E+004	-4.5944928E+002
5.1200850E+003	3.9374098E+004	1.3470781E+003
3.8163364E+003	5.2706430E+004	1.6852456E+003
2.8472668E+003	7.0480203E+004	1.9440917E+003
2.1256799E+003	9.1575320E+004	3.2321682E+003
1.5855076E+003	1.2594284E+005	1.2775568E+003
1.1818910E+003	1.7174669E+005	3.4623762E+003
8.8141022E+002	2.2565333E+005	-2.0989409E+003
6.5768494E+002	2.9287497E+005	-2.2830125E+003
4.9078522E+002	3.9665253E+005	-2.5246400E+004
3.6605426E+002	4.8399984E+005	-2.2841826E+004
2.7299075E+002	7.0848306E+005	8.8836172E+003
2.0376114E+002	1.1627751E+006	-5.8413898E+004
1.5199416E+002	1.1414193E+006	2.2899284E+005
1.1343907E+002	1.3105184E+006	8.9973481E+005
8.4593941E+001	8.8142844E+005	1.3670299E+006
6.3082302E+001	9.9794400E+005	1.2082625E+006
4.7063255E+001	1.6629861E+006	-5.9795469E+005
3.5101093E+001	1.6743260E+006	5.7502769E+005
2.6181301E+001	2.0196263E+006	1.2663484E+006
1.9531252E+001	1.0995640E+006	2.2151333E+006
1.4575557E+001	-1.4984436E+006	3.2673143E+006
1.0880919E+001	-7.3340963E+005	2.7532205E+006
8.1042528E+000	2.0183754E+006	2.9216283E+006
6.0468264E+000	-4.0928656E+004	3.1123333E+006
4.5106812E+000	-3.0688150E+006	3.6234843E+006
3.3674569E+000	-1.6326568E+006	3.8695970E+006
2.5136740E+000	4.2182334E+005	4.7875265E+006
1.8744003E+000	1.0570595E+006	3.4569595E+006
1.3970852E+000	1.1238280E+006	4.4895920E+006
1.0433360E+000	3.8309480E+006	3.6933325E+006
7.7705413E-001	-2.6894950E+006	6.7406165E+006
5.7999259E-001	-7.4144344E+005	1.7074569E+006
4.3258584E-001	-2.5462460E+006	1.0612767E+007
3.2293734E-001	-2.7392250E+006	1.0989812E+007
2.4074021E-001	3.7104650E+006	1.4822610E+007
1.7979608E-001	6.1536135E+006	1.8044044E+007
1.3415243E-001	3.1730748E+006	2.6996384E+007
9.9904113E-002	-3.2776015E+006	2.6091218E+007
1.0000186E+006	1.5208998E+002	-4.6973996E+000
7.4598238E+005	2.2465031E+002	1.1381718E+001
5.5648750E+005	3.2875842E+002	2.4079330E+001
4.1512953E+005	4.4295364E+002	4.0223759E+001
3.0967934E+005	6.0020422E+002	7.7188972E+001
2.3101619E+005	8.0735236E+002	1.1283035E+002
1.7232964E+005	1.0716716E+003	1.6863692E+002
1.2855367E+005	1.4079742E+003	2.6514194E+002
9.5902617E+004	1.8245408E+003	4.1980826E+002
7.1537258E+004	2.2944021E+003	7.0436389E+002
5.3369953E+004	2.9351318E+003	9.2470654E+002
3.9814063E+004	3.6329944E+003	1.5797009E+003
2.9700492E+004	4.4908823E+003	2.2449297E+003
2.2157064E+004	5.2642236E+003	3.2370044E+003
1.6525014E+004	5.9025200E+003	4.5900972E+003
1.2331135E+004	6.3365425E+003	6.1369014E+003
9.2288525E+003	6.3200024E+003	7.7161953E+003
6.9032866E+003	6.2703608E+003	9.2082715E+003
5.1200850E+003	5.8751084E+003	1.0584907E+004
3.8163364E+003	5.4670337E+003	1.1865713E+004
2.8472668E+003	4.9262134E+003	1.2777286E+004
2.1256799E+003	4.2212266E+003	1.3498819E+004
1.5855076E+003	3.8615046E+003	1.3830033E+004
1.1818910E+003	4.2502593E+003	1.4933585E+004
8.8141022E+002	3.8370833E+003	1.5390813E+004
6.5768494E+002	3.3356453E+003	1.5753973E+004
4.9078522E+002	3.9261504E+003	1.5933945E+004
3.6605426E+002	4.5089082E+003	1.6926760E+004
2.7299075E+002	4.7938320E+003	1.7446510E+004
2.0376114E+002	5.0359209E+003	1.8427189E+004
1.5199416E+002	5.9242329E+003	1.8695838E+004
1.1343907E+002	7.2384375E+003	2.0114221E+004
8.4593941E+001	7.6120981E+003	2.0418998E+004
6.3082302E+001	9.4290234E+003	2.1658373E+004
4.7063255E+001	1.1077836E+004	2.2796313E+004
3.5101093E+001	1.3268490E+004	2.3998953E+004
2.6181301E+001	1.5841310E+004	2.5741818E+004
1.9531252E+001	1.9376217E+004	2.7921129E+004
1.4575557E+001	2.2933449E+004	2.9800053E+004
1.0880919E+001	2.8214123E+004	3.2032496E+004
8.1042528E+000	3.4359664E+004	3.5513801E+004
6.0468264E+000	4.1862895E+004	3.8697211E+004
4.5106812E+000	5.1849938E+004	4.2938340E+004
3.3674569E+000	6.3466879E+004	4.9085918E+004
2.5136740E+000	7.9715477E+004	5.3524770E+004
1.8744003E+000	9.8188844E+004	6.1940188E+004
1.3970852E+000	1.2366248E+005	6.9225031E+004
1.0433360E+000	1.5773575E+005	7.9565109E+004
7.7705413E-001	1.9662248E+005	8.9612609E+004
5.7999259E-001	2.4246113E+005	1.0371405E+005
4.3258584E-001	3.1960363E+005	1.3192578E+005
3.2293734E-001	4.0809322E+005	1.5614064E+005
2.4074021E-001	5.2876138E+005	1.9096739E+005
1.7979608E-001	6.6138588E+005	2.3975030E+005
1.3415243E-001	8.7283913E+005	2.7379484E+005
9.9904113E-002	1.1284881E+006	3.9313444E+005
1.0000186E+006	1.6164314E+002	1.2424363E+001
7.4598238E+005	2.3445845E+002	1.2830557E+001
5.5648750E+005	3.3041309E+002	2.7595957E+001
4.1512953E+005	4.4650546E+002	4.8269489E+001
3.0967934E+005	6.0989874E+002	9.7505043E+001
2.3101619E+005	8.0304333E+002	1.4708472E+002
1.7232964E+005	1.0562561E+003	2.1918010E+002
1.2855367E+005	1.3711532E+003	3.6934122E+002
9.5902617E+004	1.7874603E+003	5.6493726E+002
7.1537258E+004	2.1227756E+003	9.4592511E+002
5.3369953E+004	2.6486152E+003	1.4944562E+003
3.9814063E+004	2.9533909E+003	2.1357109E+003
2.9700492E+004	3.5595422E+003	2.8858564E+003
2.2157064E+004	3.4029136E+003	3.8065029E+003
1.6525014E+004	3.3196802E+003	4.6603711E+003
1.2331135E+004	3.0111042E+003	5.4239609E+003
9.2288525E+003	2.6371868E+003	6.0143330E+003
6.9032866E+003	2.4164343E+003	6.5242227E+003
5.1200850E+003	1.9905819E+003	6.8644761E+003
3.8163364E+003	1.7328834E+003	7.2152495E+003
2.8472668E+003	1.7327588E+003	7.3607588E+003
2.1256799E+003	1.5122562E+003	7.4482061E+003
1.5855076E+003	1.5051636E+003	7.6299658E+003
1.1818910E+003	1.5220294E+003	7.9128462E+003
8.8141022E+002	1.6173567E+003	8.0281987E+003
6.5768494E+002	1.7246301E+003	8.1635474E+003
4.9078522E+002	2.2761084E+003	8.4101523E+003
3.6605426E+002	2.5168252E+003	8.6095879E+003
2.7299075E+002	2.9103013E+003	8.9278779E+003
2.0376114E+002	3.4695779E+003	9.1154150E+003
1.5199416E+002	4.1929517E+003	9.7846758E+003
1.1343907E+002	5.2653257E+003	9.8801211E+003
8.4593941E+001	6.4347231E+003	1.0546440E+004
6.3082302E+001	8.0970273E+003	1.1256375E+004
4.7063255E+001	1.0011295E+004	1.2036143E+004
3.5101093E+001	1.2128070E+004	1.2637173E+004
2.6181301E+001	1.5193694E+004	1.3707062E+004
1.9531252E+001	1.9057232E+004	1.5066499E+004
1.4575557E+001	2.3975982E+004	1.6516799E+004
1.0880919E+001	2.9990080E+004	1.8350371E+004
8.1042528E+000	3.8481246E+004	2.0962463E+004
6.0468264E+000	4.8558297E+004	2.3794115E+004
4.5106812E+000	6.1601625E+004	2.7581740E+004
3.3674569E+000	7.8269992E+004	3.1845820E+004
2.5136740E+000	1.0180445E+005	3.6855238E+004
1.8744003E+000	1.3006289E+005	4.4224875E+004
1.3970852E+000	1.6284061E+005	5.3723609E+004
1.0433360E+000	2.1092098E+005	6.6544273E+004
7.7705413E-001	2.6631603E+005	8.6052352E+004
5.7999259E-001	2.8757691E+005	1.5119442E+005
4.3258584E-001	4.3342353E+005	1.1894929E+005
3.2293734E-001	5.5963375E+005	1.6294453E+005
2.4074021E-001	7.4968825E+005	1.9154438E+005
1.7979608E-001	9.2995606E+005	2.6589778E+005
1.3415243E-001	1.2070563E+006	3.4230069E+005
9.9904113E-002	1.5624043E+006	4.4808706E+005
1.0000186E+006	1.7069691E+002	1.8690711E+000
7.4598238E+005	2.4099214E+002	7.0908785E+000
5.5648750E+005	3.4429333E+002	8.4607658E+000
4.1512953E+005	4.6738541E+002	1.6008457E+001
3.0967934E+005	6.5524115E+002	2.7049871E+001
2.3101619E+005	8.7898401E+002	2.8842098E+001
1.7232964E+005	1.1645947E+003	3.4094238E+001
1.2855367E+005	1.5598705E+003	9.1470306E+001
9.5902617E+004	2.1123567E+003	9.3677597E+001
7.1537258E+004	2.7830874E+003	1.5927998E+002
5.3369953E+004	3.7185896E+003	1.9862650E+002
3.9814063E+004	4.9580151E+003	4.3888977E+002
2.9700492E+004	6.6030254E+003	2.9880573E+002
2.2157064E+004	8.6221934E+003	6.1212946E+002
1.6525014E+004	1.1701460E+004	7.9127820E+002
1.2331135E+004	1.5121513E+004	1.2032196E+003
9.2288525E+003	2.0058275E+004	2.1134263E+003
6.9032866E+003	2.6135410E+004	3.7491833E+003
5.1200850E+003	3.4856551E+004	8.7519023E+003
3.8163364E+003	4.5978500E+004	1.1065099E+004
2.8472668E+003	5.9324418E+004	1.6736473E+004
2.1256799E+003	7.5525641E+004	2.4888504E+004
1.5855076E+003	9.2084297E+004	4.2469281E+004
1.1818910E+003	1.1101513E+005	5.5264336E+004
8.8141022E+002	1.3236398E+005	8.5981070E+004
6.5768494E+002	1.4746867E+005	1.2196295E+005
4.9078522E+002	1.6067019E+005	1.6046098E+005
3.6605426E+002	1.5173228E+005	1.9770023E+005
2.7299075E+002	1.3359627E+005	2.2643608E+005
2.0376114E+002	1.1930331E+005	2.7185341E+005
1.5199416E+002	1.1661098E+005	2.7067994E+005
1.1343907E+002	1.1974535E+005	2.8977047E+005
8.4593941E+001	8.4896375E+004	3.3335763E+005
6.3082302E+001	1.1385907E+005	3.4488500E+005
4.7063255E+001	1.1445330E+005	3.3648806E+005
3.5101093E+001	9.1832891E+004	3.6921941E+005
2.6181301E+001	8.0044867E+004	3.6404319E+005
1.9531252E+001	1.1396879E+005	3.7106988E+005
1.4575557E+001	1.3059905E+005	4.0034431E+005
1.0880919E+001	8.3763008E+004	3.8320978E+005
8.1042528E+000	1.3344683E+005	4.0137263E+005
6.0468264E+000	1.2273611E+005	4.2083931E+005
4.5106812E+000	1.4480567E+005	4.4465616E+005
3.3674569E+000	2.5251619E+005	4.5262072E+005
2.5136740E+000	2.3693961E+005	4.9010644E+005
1.8744003E+000	3.0760059E+005	5.4165988E+005
1.3970852E+000	3.7032431E+005	5.4524163E+005
1.0433360E+000	5.0879228E+005	6.3314406E+005
7.7705413E-001	5.3880350E+005	6.6285006E+005
5.7999259E-001	7.5001119E+005	5.4443169E+005
4.3258584E-001	8.1609563E+005	8.2201381E+005
3.2293734E-001	1.1345916E+006	8.8034794E+005
2.4074021E-001	1.2449205E+006	1.0491625E+006
1.7979608E-001	1.5930940E+006	1.2155059E+006
1.3415243E-001	2.1322278E+006	1.4867441E+006
9.9904113E-002	2.4932658E+006	1.4171880E+006
1.0000186E+006	1.6378915E+002	6.9376101E+000
7.4598238E+005	2.3770789E+002	3.4819477E+000
5.5648750E+005	3.4524377E+002	6.1701307E+000
4.1512953E+005	4.7240134E+002	1.0838786E+001
3.0967934E+005	6.6247809E+002	2.9770821E+001
2.3101619E+005	8.8411957E+002	3.1054264E+001
1.7232964E+005	1.2124886E+003	3.0079668E+001
1.2855367E+005	1.6068019E+003	3.4777035E+001
9.5902617E+004	2.1452173E+003	9.1008087E+001
7.1537258E+004	2.8590793E+003	1.4445612E+002
5.3369953E+004	3.8922871E+003	1.8644250E+002
3.9814063E+004	5.1084233E+003	2.0651331E+001
2.9700492E+004	6.7641084E+003	3.6071869E+001
2.2157064E+004	8.9479980E+003	2.4071448E+002
1.6525014E+004	1.2136578E+004	3.0609143E+002
1.2331135E+004	1.5977229E+004	4.8115240E+002
9.2288525E+003	2.1837795E+004	-2.9680222E+002
6.9032866E+003	2.8694105E+004	1.3874355E+003
5.1200850E+003	3.8603992E+004	2.6113872E+003
3.8163364E+003	5.2428598E+004	2.9087781E+003
2.8472668E+003	6.8457141E+004	3.8924763E+003
2.1256799E+003	9.2228414E+004	6.3549082E+003
1.5855076E+003	1.2022048E+005	1.0042999E+004
1.1818910E+003	1.5916219E+005	1.3993038E+004
8.8141022E+002	2.1142322E+005	2.8388326E+004
6.5768494E+002	2.8632813E+005	2.7701180E+004
4.9078522E+002	3.8967225E+005	7.4978422E+004
3.6605426E+002	4.6146719E+005	9.0191633E+004
2.7299075E+002	5.8910325E+005	1.5580745E+005
2.0376114E+002	6.6782956E+005	3.2463959E+005
1.5199416E+002	9.5519244E+005	3.7478325E+005
1.1343907E+002	8.6164956E+005	7.1176694E+005
8.4593941E+001	6.5599706E+005	1.1907135E+006
6.3082302E+001	5.8085406E+005	1.3858285E+006
4.7063255E+001	1.1542295E+006	1.2240683E+006
3.5101093E+001	1.7592526E+006	2.2200603E+005
2.6181301E+001	1.5148633E+006	1.2109861E+006
1.9531252E+001	4.8490117E+004	2.4322713E+006
1.4575557E+001	1.0325338E+006	1.0550218E+006
1.0880919E+001	-3.4552100E+005	1.7290196E+006
8.1042528E+000	1.6336948E+006	2.2187335E+006
6.0468264E+000	-8.1856431E+005	2.0135666E+006
4.5106812E+000	1.3015498E+006	2.2156380E+006
3.3674569E+000	-2.9158244E+005	2.9049595E+006
2.5136740E+000	1.9727146E+006	1.3703699E+006
1.8744003E+000	1.4490290E+006	2.3730415E+006
1.3970852E+000	9.6734019E+005	2.9253935E+006
1.0433360E+000	1.4914784E+006	3.6953330E+006
7.7705413E-001	1.4101878E+006	3.5576748E+006
5.7999259E-001	1.0724103E+006	2.6943380E+006
4.3258584E-001	2.5557435E+006	4.9345895E+006
3.2293734E-001	3.2755240E+006	7.0148535E+006
2.4074021E-001	5.9475780E+006	5.2343730E+006
1.7979608E-001	6.0617215E+006	6.6185245E+006
1.3415243E-001	5.2465785E+006	6.7528895E+006
9.9904113E-002	8.3607000E+006	5.2772795E+006
1.0000186E+006	1.5713194E+002	1.8603300E+001
7.4598238E+005	2.2702701E+002	1.8056980E+001
5.5648750E+005	3.1893781E+002	4.3150215E+001
4.1512953E+005	4.2324252E+002	7.9058029E+001
3.0967934E+005	5.6232239E+002	1.3988243E+002
2.3101619E+005	7.2194476E+002	2.0992371E+002
1.7232964E+005	9.1730573E+002	3.3483438E+002
1.2855367E+005	1.1316753E+003	4.9906003E+002
9.5902617E+004	1.3713018E+003	7.4881824E+002
7.1537258E+004	1.5878850E+003	1.0142713E+003
5.3369953E+004	1.7066355E+003	1.4442219E+003
3.9814063E+004	1.8553615E+003	1.8957172E+003
2.9700492E+004	2.0146227E+003	2.4101135E+003
2.2157064E+004	1.9239608E+003	2.8286448E+003
1.6525014E+004	1.9153739E+003	3.0498054E+003
1.2331135E+004	1.7566459E+003	3.6150737E+003
9.2288525E+003	1.7216810E+003	3.7897532E+003
6.9032866E+003	1.5697679E+003	4.0897747E+003
5.1200850E+003	1.6062354E+003	4.3062310E+003
3.8163364E+003	1.6153917E+003	4.5613159E+003
2.8472668E+003	1.6855343E+003	4.7046997E+003
2.1256799E+003	1.8017668E+003	4.8895737E+003
1.5855076E+003	2.0393531E+003	5.1351523E+003
1.1818910E+003	2.2346121E+003	5.3856309E+003
8.8141022E+002	2.7086550E+003	5.5959136E+003
6.5768494E+002	3.2319111E+003	5.8542422E+003
4.9078522E+002	3.8059331E+003	6.1645791E+003
3.6605426E+002	4.8152729E+003	6.5398423E+003
2.7299075E+002	5.8061836E+003	7.0328979E+003
2.0376114E+002	7.1658975E+003	7.6401274E+003
1.5199416E+002	8.7118936E+003	8.4239775E+003
1.1343907E+002	1.0691777E+004	9.3607256E+003
8.4593941E+001	1.3199311E+004	1.0586403E+004
6.3082302E+001	1.6944557E+004	1.1502052E+004
4.7063255E+001	2.1274504E+004	1.3190670E+004
3.5101093E+001	2.6507170E+004	1.5387063E+004
2.6181301E+001	3.3050813E+004	1.7690396E+004
1.9531252E+001	4.1153773E+004	2.1159281E+004
1.4575557E+001	5.2120660E+004	2.5564936E+004
1.0880919E+001	6.4292934E+004	3.0128273E+004
8.1042528E+000	8.1600000E+004	3.7424727E+004
6.0468264E+000	1.0277117E+005	4.3556477E+004
4.5106812E+000	1.2605176E+005	5.7499641E+004
3.3674569E+000	1.6049033E+005	6.1951613E+004
2.5136740E+000	2.0077947E+005	8.2369109E+004
1.8744003E+000	2.4434855E+005	9.8667672E+004
1.3970852E+000	2.9850088E+005	1.3125167E+005
1.0433360E+000	3.7777534E+005	1.6220739E+005
7.7705413E-001	4.8572338E+005	2.0462364E+005
5.7999259E-001	6.2475094E+005	2.4422138E+005
4.3258584E-001	7.5440888E+005	3.3497481E+005
3.2293734E-001	9.5981819E+005	3.6165622E+005
2.4074021E-001	1.1809114E+006	4.9837244E+005
1.7979608E-001	1.5328291E+006	6.1297963E+005
1.3415243E-001	1.9817576E+006	6.5993350E+005
9.9904113E-002	2.4653770E+006	1.0591101E+006
1.0000186E+006	1.7098428E+002	-7.1292442E-001
7.4598238E+005	2.5079588E+002	4.1803036E+000
5.5648750E+005	3.4994370E+002	3.3311093E+000
4.1512953E+005	4.7665881E+002	7.7381320E+000
3.0967934E+005	6.6304828E+002	2.0093887E+001
2.3101619E+005	8.9834955E+002	2.4987232E+001
1.7232964E+005	1.1948132E+003	4.5387043E+001
1.2855367E+005	1.6118198E+003	3.4033092E+001
9.5902617E+004	2.1745364E+003	9.6551201E+001
7.1537258E+004	2.8976672E+003	9.3634338E+001
5.3369953E+004	3.9270376E+003	1.2246169E+002
3.9814063E+004	5.0795986E+003	2.2189156E+001
2.9700492E+004	6.8488564E+003	3.6846325E+001
2.2157064E+004	8.9887432E+003	-3.4904964E+001
1.6525014E+004	1.2347865E+004	2.6494797E+002
1.2331135E+004	1.6439951E+004	2.0606879E+002
9.2288525E+003	2.2019451E+004	6.2711304E+002
